DATE,RAINFALL(mm)
06-01-2010,0
06-02-2010,1
06-03-2010,2
06-04-2010,0
06-05-2010,0
06-06-2010,0
06-07-2010,3
06-08-2010,0
06-09-2010,0
06-10-2010,0
06-11-2010,0
06-12-2010,0
06/13/2010,0
06/14/2010,0
06/15/2010,1
06/16/2010,0
06/17/2010,1
06/18/2010,4
06/19/2010,1
06/20/2010,0
06/21/2010,0
06/22/2010,0
06/23/2010,0
06/24/2010,0
06/25/2010,0
06/26/2010,2
06/27/2010,0
06/28/2010,0
06/29/2010,0
06/30/2010,0
07-01-2010,0
07-02-2010,0
07-03-2010,6
07-04-2010,5
07-05-2010,5
07-06-2010,2
07-07-2010,2
07-08-2010,0
07-09-2010,0
07-10-2010,0
07-11-2010,1
07-12-2010,0
07/13/2010,0
07/14/2010,3
07/15/2010,0
07/16/2010,3
07/17/2010,1
07/18/2010,0
07/19/2010,3
07/20/2010,0
07/21/2010,0
07/22/2010,0
07/23/2010,3
07/24/2010,4
07/25/2010,1
07/26/2010,2
07/27/2010,1
07/28/2010,1
07/29/2010,0
07/30/2010,1
07/31/2010,4
08-01-2010,3
08-02-2010,0
08-03-2010,3
08-04-2010,1
08-05-2010,1
08-06-2010,1
08-07-2010,1
08-08-2010,1
08-09-2010,1
08-10-2010,1
08-11-2010,1
08-12-2010,0
08/13/2010,1
08/14/2010,0
08/15/2010,0
08/16/2010,1
08/15/2010,0
08/16/2010,0
08/17/2010,1
08/18/2010,0
08/19/2010,1
08/20/2010,0
08/21/2010,0
09/19/2010,16
09/24/2010,0
09/25/2010,0
09/26/2010,0
09/27/2010,0
09/28/2010,0
09/27/2010,0
09/28/2010,0
09/29/2010,0
09/30/2010,0
06-01-2011,0
06-02-2011,0
06-03-2011,0
06-04-2011,3
06-05-2011,0
06-06-2011,0
06-07-2011,0
06-08-2011,0
06-09-2011,0
06-10-2011,0
06-11-2011,0
06-12-2011,0
06/13/2011,0
06/14/2011,0
06/15/2011,0
06/16/2011,0
06/17/2011,0
06/18/2011,0
06/19/2011,0
06/20/2011,0
06/21/2011,0
06/22/2011,0
06/23/2011,0
06/24/2011,0
06/25/2011,0
06/26/2011,0
06/27/2011,0
06/28/2011,1
06/29/2011,0
06/30/2011,0
07-01-2011,0
07-02-2011,0
07-03-2011,0
07-04-2011,0
07-05-2011,1
07-06-2011,2
07-07-2011,0
07-08-2011,23
07-09-2011,15
07-10-2011,95
07-11-2011,4
07-12-2011,0
07/13/2011,0
07/14/2011,3
07/15/2011,0
07/16/2011,20
07/17/2011,15
07/18/2011,2
07/19/2011,0
07/20/2011,0
07/21/2011,0
07/22/2011,0
07/23/2011,1
07/24/2011,27
07/25/2011,32
07/26/2011,1
07/27/2011,0
07/28/2011,0
07/29/2011,0
07/30/2011,0
07/31/2011,103
08-01-2011,8
08-02-2011,0
08-03-2011,0
08-04-2011,1
08-05-2011,0
08-06-2011,0
08-07-2011,0
08-08-2011,45
08-09-2011,232
08-10-2011,88
08-11-2011,9
08-12-2011,47
08/13/2011,75
08/14/2011,14
08/15/2011,49
08/16/2011,2
08/17/2011,0
08/18/2011,4
08/19/2011,0
08/20/2011,8
08/21/2011,1
08/22/2011,31
08/23/2011,0
08/24/2011,0
08/25/2011,0
08/26/2011,18
08/27/2011,20
08/28/2011,0
08/29/2011,10
08/30/2011,0
08/31/2011,0
09-01-2011,1
09-02-2011,7
09-03-2011,1
09-04-2011,68
09-05-2011,14
09-06-2011,6
09-07-2011,21
09-08-2011,12
09-09-2011,1
09-10-2011,0
09-11-2011,28
09-12-2011,59
09/13/2011,1
09/14/2011,0
09/15/2011,0
09/16/2011,0
09/17/2011,3
09/18/2011,6
09/19/2011,0
09/20/2011,4
09/21/2011,0
09/22/2011,0
09/23/2011,0
09/24/2011,0
09/25/2011,7
09/26/2011,0
09/27/2011,0
09/29/2011,0
09/30/2011,0
06-01-2012,0
06-02-2012,0
06-03-2012,0
06-04-2012,0
06-05-2012,0
06-06-2012,0
06-07-2012,0
06-08-2012,0
06-09-2012,0
06-10-2012,0
06-11-2012,0
06-12-2012,0
06/13/2012,21
06/14/2012,2
06/15/2012,0
06/16/2012,9
06/17/2012,0
06/18/2012,0
06/19/2012,0
06/20/2012,0
06/25/2012,0
06/26/2012,0
06/27/2012,0
06/28/2012,0
06/29/2012,0
06/30/2012,0
07-01-2012,0
07-02-2012,0
07-03-2012,0
07-04-2012,2
07-05-2012,0
07-06-2012,0
07-07-2012,0
07-08-2012,0
07-09-2012,51
07-10-2012,35
07-11-2012,0
07-12-2012,4
07/13/2012,2
07/14/2012,0
07/15/2012,0
07/16/2012,0
07/17/2012,0
07/18/2012,0
07/19/2012,0
07/20/2012,0
07/21/2012,0
07/22/2012,0
07/23/2012,0
07/24/2012,0
07/25/2012,0
07/26/2012,0
07/27/2012,0
07/28/2012,0
07/29/2012,1
07/30/2012,0
07/31/2012,0
08-01-2012,0
08-02-2012,0
08-03-2012,0
08-04-2012,0
08-05-2012,0
08-06-2012,0
08-07-2012,0
08-08-2012,0
08-09-2012,0
08-10-2012,0
08-11-2012,0
08-12-2012,28
08/13/2012,0
08/14/2012,0
08/15/2012,0
08/16/2012,0
08/17/2012,0
06-01-2014,0
06-02-2014,3
06-03-2014,0
06-04-2014,0
06-05-2014,0
06-06-2014,0
06-07-2014,0
06-08-2014,0
06-09-2014,0
06-10-2014,0
06-11-2014,0
06-12-2014,0
06/13/2014,0
06/14/2014,0
06/15/2014,0
