DATE,RAINFALL(mm),PERCOLATION
01022009,0,0
01032009,0,0
01042009,0,0
01052009,0,0
01062009,0,0
01072009,0,0
01092009,0,0
01102009,0,0
01112009,0,0
01122009,0,0
01132009,0,0
01142009,0,0
01152009,0,0
01162009,0,0
01172009,0,0
01182009,0,0
01192009,0,0
01202009,0,0
01212009,0,0
01222009,0,0
01232009,0,0
01242009,0,0
01252009,0,0
01262009,0,0
01272009,0,0
01282009,0,0
01292009,0,0
01302009,0,0
01312009,0,0
02022009,0,0
02032009,0,0
02042009,0,0
02052009,0,0
02062009,0,0
02072009,0,0
02082009,0,0
02092009,0,0
02102009,0,0
02112009,0,0
02122009,0,0
02132009,0,0
02142009,0,0
02152009,0,0
02162009,0,0
02172009,0,0
02182009,0,0
02192009,0,0
02202009,0,0
02212009,0,0
02222009,0,0
02232009,0,0
02242009,0,0
02252009,0,0
02262009,0,0
02272009,0,0
02282009,0,0
03012009,0,0
03022009,0,0
03032009,0,0
03042009,0,0
03052009,0,0
03062009,0,0
03072009,0,0
03082009,0,0
03092009,0,0
03102009,0,0
03112009,0,0
03122009,0,0
03132009,0,0
03142009,0,0
03152009,0,0
03162009,0,0
03172009,0,0
03182009,0,0
03192009,0,0
03202009,0,0
03212009,0,0
03222009,0,0
03232009,0,0
03242009,0,0
03252009,0,0
03262009,0,0
03272009,0,0
03282009,0,0
03292009,0,0
03302009,0,0
03312009,0,0
04012009,0,0
04022009,0,0
04032009,0,0
04042009,0,0
04052009,0,0
04062009,0,0
04072009,0,0
04082009,0,0
04092009,0,0
04102009,0,0
04112009,0,0
04122009,0,0
04132009,0,0
04142009,0,0
04152009,0,0
04202009,0,0
04212009,0,0
04222009,0,0
04232009,0,0
04242009,0,0
04252009,0,0
04262009,0,0
04272009,0,0
04282009,0,0
04292009,0,0
04302009,0,0
05012009,0,0
05022009,0,0
05032009,0,0
05042009,0,0
05052009,0,0
05062009,0,0
05072009,0,0
05082009,0,0
05092009,0,0
05102009,0,0
05112009,0,0
05122009,0,0
05132009,0,0
05142009,0,0
05152009,0,0
05162009,0,0
05172009,0,0
05182009,0,0
05192009,0,0
05202009,0,0
05212009,0,0
05222009,0,0
05232009,0,0
05242009,0,0
05252009,0,0
05262009,0,0
05272009,0,0
05282009,0,0
05292009,0,0
05302009,0,0
05312009,0,0
06012009,0,0
06022009,0,0
06032009,0,0
06042009,0,0
06052009,0,0
06062009,0,0
06072009,0,0
06082009,0,0
06102009,0,0
06112009,0,0
06122009,0,0
06132009,0,0
06142009,0,0
06152009,0,0
06162009,0,0
06172009,0,0
06182009,0,0
06192009,0,0
06202009,0,0
06212009,0,0
06222009,0,0
06232009,0,0
06242009,0,0
06252009,0,0
06262009,0,0
06272009,0,0
06282009,0,0
06292009,0,0
06302009,0,0
07012009,0,0
07022009,1,0.736414603
07032009,0,0
07042009,0,0
07052009,0,0
07062009,0,0
07072009,0,0
07082009,0,0
07092009,5,3.682073016
07102009,91,67.01372889
07112009,0,0
07122009,0,0
07132009,1,0.736414603
07142009,14,10.30980444
07152009,20,14.72829206
07162009,0,0
