DATE,RAINFALL(mm)
06012010,0
06022010,1
06032010,0
06042010,6
06052010,0
06062010,4
06072010,53
06082010,0
06092010,0
06102010,0
06112010,0
06122010,0
06132010,0
06142010,0
06152010,0
06162010,0
06172010,12
06182010,0
06192010,0
06202010,0
06212010,0
06222010,0
06232010,0
06242010,0
06252010,0
06262010,0
06272010,0
06282010,0
06292010,0
06302010,0
07012010,0
07022010,22
07032010,14
07042010,1
07052010,24
07062010,0
07072010,15
07082010,4
07092010,0
07102010,7
07112010,0
07122010,0
07132010,0
07142010,12
07152010,0
07162010,0
07172010,0
07182010,0
07192010,0
07202010,0
07212010,0
07222010,32
07232010,1
07242010,148
07252010,53
07262010,31
07272010,5
07282010,17
07292010,22
07302010,0
07312010,7
08012010,84
08022010,21
08032010,56
08042010,74
08052010,22
08062010,0
08072010,2
08082010,343
08092010,0
08102010,0
08112010,5
08122010,0
08132010,0
08142010,4
08152010,0
08162010,0
08152010,0
08162010,22
08172010,0
08182010,12
08192010,16
08202010,11
08212010,2
09192010,0
09242010,0
09252010,0
09262010,0
09272010,0
09282010,0
09272010,0
09282010,0
09292010,0
09302010,0
06012011,0
06022011,0
06032011,15
06042011,0
06052011,0
06062011,0
06072011,0
06082011,0
06092011,0
06102011,0
06112011,0
06122011,0
06132011,0
06142011,0
06152011,0
06162011,0
06172011,0
06182011,0
06192011,0
06202011,0
06212011,0
06222011,0
06232011,0
06242011,0
06252011,0
06262011,0
06272011,0
06282011,0
06292011,0
06302011,0
07012011,0
07022011,0
07032011,0
07042011,0
07052011,0
07062011,0
07072011,15
07082011,5
07092011,35
07102011,59
07112011,19
07122011,1
07132011,0
07142011,1
07152011,0
07162011,0
07172011,22
07182011,0
07192011,7
07202011,0
07212011,0
07222011,0
07232011,0
07242011,3
07252011,3
07262011,0
07272011,0
07282011,3
07292011,3
07302011,0
07312011,0
08012011,0
08022011,0
08032011,0
08042011,0
08052011,0
08062011,0
08072011,0
08082011,0
08092011,38
08102011,37
08112011,45
08122011,37
08132011,4
08142011,19
08152011,9
08162011,0
08172011,18
08182011,4
08192011,11
08202011,3
08212011,14
08222011,1
08232011,0
08242011,0
08252011,1
08262011,2
08272011,1
08282011,6
08292011,8
08302011,0
08312011,3
09012011,0
09022011,1
09032011,0
09042011,8
09052011,1
09062011,3
09072011,12
09082011,3
09092011,0
09102011,0
09112011,2
09122011,27
09132011,1
09142011,0
09152011,0
09162011,0
09172011,1
09182011,14
09192011,0
09202011,0
09212011,0
09222011,0
09232011,0
09242011,0
09252011,0
09262011,0
09272011,0
09292011,0
09302011,0
06012012,0
06022012,0
06032012,0
06042012,0
06052012,0
06062012,0
06072012,5
06082012,0
06092012,0
06102012,1
06112012,0
06122012,0
06132012,0
06142012,0
06152012,0
06162012,23
06172012,0
06182012,0
06192012,0
06202012,0
06252012,0
06262012,0
06272012,0
06282012,0
06292012,0
06302012,0
07012012,0
07022012,0
07032012,0
07042012,9
07052012,0
07062012,3
07072012,1
07082012,0
07092012,0
07102012,9
07112012,11
07122012,13
07132012,1
07142012,0
07152012,0
07162012,0
07172012,0
07182012,1
07192012,0
07202012,0
07212012,0
07222012,0
07232012,0
07242012,0
07252012,0
07262012,0
07272012,0
07282012,0
07292012,0
07302012,0
07312012,12
08012012,1
08022012,0
08032012,0
08042012,0
08052012,0
08062012,0
08072012,0
08082012,1
08092012,0
08102012,0
08112012,0
08122012,0
08132012,0
08142012,0
08152012,0
08162012,0
08172012,0
08182012,0
08192012,0
08202012,0
08212012,0
08222012,0
08232012,1
08242012,0
08252012,0
08262012,0
08272012,0
08282012,0
08292012,0
08302012,0
08312012,0
09012012,0
09022012,0
09032012,0
09042012,0
09052012,1
09062012,0
09072012,0
09082012,2
09092012,0
09102012,0
09112012,0
09122012,0
09132012,0
09142012,0
09152012,1
09162012,0
09172012,0
09182012,0
09192012,0
09202012,0
09212012,0
09222012,0
09232012,0
09242012,0
09252012,0
09262012,0
09272012,0
09282012,0
09292012,0
09302012,0
06012013,0
06022013,0
06032013,0
06042013,0
06052013,0
06062013,0
06072013,0
06082013,0
06092013,0
06102013,0
06112013,4
06122013,0
06132013,2
06142013,2
06152013,2
06162013,0
06182013,1
06192013,0
06202013,0
06212013,0
06222013,0
06232013,0
06242013,0
06252013,0
06262013,0
06272013,0
06282013,0
06292013,0
06302013,0
07012013,0
07022013,0
07032013,0
07042013,1
07112013,4
07122013,0
07132013,0
07152013,0
07172013,0
07212013,0
07222013,0
07262013,0
08072013,1
08212013,0
09132013,9
09172013,1
09182013,0
09192013,0
09202013,0
09212013,0
09232013,3
09252013,1
09262013,1
09272013,0
09282013,0
09302013,1
06012014,0
06022014,0
06032014,0
06042014,0
06052014,0
06062014,0
06072014,0
06082014,0
06092014,0
06102014,0
06112014,0
06122014,0
06132014,0
06142014,0
06152014,0
06162014,0
06172014,27
06182014,0
06192014,0
06202014,0
06212014,0
06222014,0
06232014,0
06242014,0
06252014,0
06262014,0
06272014,0
06282014,0
06292014,0
06302014,0
07012014,0
07022014,0
07032014,0
07042014,0
07052014,0
07062014,0
07072014,0
07082014,0
07092014,0
07102014,0
07112014,0
07122014,0
07132014,0
07142014,0
07152014,0
07162014,7
07172014,17
07182014,31
07192014,26
07202014,0
07212014,0
07222014,0
07232014,8
07242014,102
07252014,7
07262014,9
07272014,0
07282014,2
07292014,81
07302014,218
07312014,1
08012014,0
08022014,6
08032014,4
08042014,0
08052014,5
08062014,3
08072014,1
08082014,5
