DATE,RAINFALL(mm)
06012009,0
06022009,0
06032009,0
06042009,0
06052009,0
06062009,0
06072009,0
06082009,0
06102009,0
06112009,0
06122009,0
06132009,0
06142009,0
06152009,0
06162009,0
06172009,0
06182009,0
06192009,0
06202009,0
06212009,0
06222009,0
06232009,0
06242009,0
06252009,0
06262009,0
06272009,0
06282009,0
06292009,0
06302009,0
07012009,0
07022009,1
07032009,0
07042009,0
07052009,0
07062009,0
07072009,0
07082009,0
07092009,5
07102009,91
07112009,0
07122009,0
07132009,1
07142009,14
07152009,20
07162009,0
07172009,2
07182009,1
07192009,6
07202009,4
07212009,0
07222009,2
07232009,29
07242009,3
07252009,7
07262009,2
07272009,0
07282009,0
07292009,0
07302009,0
07312009,0
08012009,0
08022009,0
08032009,0
08042009,0
08052009,0
08062009,0
08072009,0
08082009,0
08092009,0
08102009,0
08112009,0
08122009,0
08132009,0
08142009,0
08152009,0
08162009,0
08172009,1
08182009,0
08192009,0
08202009,0
08212009,0
08222009,0
08232009,0
08242009,0
08252009,0
08262009,0
08272009,2
08282009,15
08292009,37
08302009,86
08312009,3
09012009,6
09022009,0
09032009,0
09042009,0
09052009,0
09062009,0
09072009,0
09082009,0
09092009,0
09102009,0
09112009,0
09122009,0
09142009,0
09152009,0
09162009,0
09172009,0
09182009,0
09192009,0
09202009,0
09212009,0
09222009,0
09232009,0
09242009,0
09252009,0
09262009,0
09272009,0
09282009,0
09292009,0
09302009,0
06012010,0
06022010,5
06032010,0
06042010,0
06052010,0
06062010,3
06072010,37
06082010,9
06092010,0
06102010,0
06112010,0
06122010,0
06132010,0
06142010,0
06152010,1
06162010,0
06172010,12
06182010,0
06192010,0
06202010,0
06212010,0
06222010,0
06232010,0
06242010,0
06252010,0
06262010,0
06272010,0
06282010,0
06292010,0
06302010,0
07012010,0
07022010,45
07032010,20
07042010,1
07052010,9
07062010,4
07072010,15
07082010,0
07092010,0
07102010,3
07112010,0
07122010,0
07132010,0
07142010,5
07152010,0
07162010,0
07172010,2
07182010,0
07192010,0
07202010,0
07212010,1
07222010,67
07232010,1
07242010,135
07252010,25
07262010,69
07272010,2
07282010,12
07292010,3
07302010,0
07312010,0
08012010,86
08022010,57
08032010,100
08042010,67
08052010,0
08062010,0
08072010,2
08092010,141
08102010,0
08112010,41
08122010,0
08132010,0
08142010,29
08152010,2
08162010,0
08152010,0
08162010,0
08172010,0
08182010,0
08192010,24
08202010,13
08212010,1
08222010,14
08232010,0
08242010,1
08252010,0
08262010,1
08272010,0
08282010,5
08292010,33
08302010,4
08312010,6
09012010,2
09022010,1
09032010,1
09042010,0
09052010,6
09062010,3
09072010,16
09082010,3
09102010,40
09112010,13
09122010,2
09132010,8
09142010,0
09152010,2
09162010,0
09172010,0
09182010,0
09192010,0
09202010,0
09232010,0
09242010,0
09252010,0
09262010,0
09272010,0
09282010,0
09272010,0
09282010,0
09292010,0
09302010,0
06012011,0
06022011,0
06032011,2
06042011,0
06052011,0
06062011,0
06072011,0
06082011,0
06092011,0
06102011,0
06112011,0
06122011,0
06132011,0
06142011,0
06152011,0
06162011,0
06172011,0
06182011,0
06192011,0
06202011,0
06212011,0
06222011,0
06232011,0
06242011,0
06252011,0
06262011,0
06272011,0
06282011,0
06292011,0
07012011,0
07022011,0
07032011,0
07042011,0
07052011,0
07062011,0
07072011,23
07082011,9
07092011,52
07102011,32
07112011,37
07122011,2
07132011,0
07142011,2
07152011,0
07162011,0
07172011,0
07182011,24
07192011,3
07202011,0
07212011,0
07222011,0
07232011,1
07242011,2
07252011,0
07262011,4
07272011,0
07282011,0
07292011,13
07302011,0
07312011,0
08012011,0
08022011,0
08032011,0
08042011,0
08052011,0
08062011,0
08072011,0
08082011,0
08092011,27
08102011,28
08112011,41
08122011,11
08132011,36
08142011,21
08152011,5
08162011,0
08172011,2
08182011,0
08192011,0
08202011,3
08212011,14
08222011,0
08232011,0
08242011,0
08252011,0
08262011,0
08272011,0
08282011,0
08292011,0
08302011,0
08312011,0
09012011,0
09022011,0
09032011,0
09042011,0
09052011,0
09062011,0
09072011,0
09082011,0
09092011,0
09102011,0
09112011,0
09122011,0
09132011,0
09142011,0
09152011,0
09162011,0
09172011,0
09182011,0
09192011,0
09202011,0
09212011,0
09222011,0
09232011,0
09242011,0
09252011,0
09262011,0
09272011,0
09292011,0
09302011,0
06012012,0
06022012,0
06032012,0
06042012,0
06052012,0
06062012,0
06072012,0
06082012,0
06092012,0
06102012,0
06112012,0
06122012,0
06132012,0
06142012,0
06152012,0
06162012,0
06172012,0
06182012,0
06192012,0
06202012,0
06252012,0
06262012,0
06272012,0
06282012,0
06292012,0
06302012,0
07012012,0
07022012,0
07032012,0
07042012,0
07052012,0
07062012,0
07072012,0
07082012,0
07092012,0
07102012,0
07112012,0
07122012,0
07132012,0
07142012,0
07152012,0
07162012,0
07172012,0
