DATE,RAINFALL(mm)
06012010,0
06022010,1
06032010,2
06042010,0
06052010,0
06062010,0
06072010,3
06082010,0
06092010,0
06102010,0
06112010,0
06122010,0
06132010,0
06142010,0
06152010,1
06162010,0
06172010,1
06182010,4
06192010,1
06202010,0
06212010,0
06222010,0
06232010,0
06242010,0
06252010,0
06262010,2
06272010,0
06282010,0
06292010,0
06302010,0
07012010,0
07022010,0
07032010,6
07042010,5
07052010,5
07062010,2
07072010,2
07082010,0
07092010,0
07102010,0
07112010,1
07122010,0
07132010,0
07142010,3
07152010,0
07162010,3
07172010,1
07182010,0
07192010,3
07202010,0
07212010,0
07222010,0
07232010,3
07242010,4
07252010,1
07262010,2
07272010,1
07282010,1
07292010,0
07302010,1
07312010,4
08012010,3
08022010,0
08032010,3
08042010,1
08052010,1
08062010,1
08072010,1
08082010,1
08092010,1
08102010,1
08112010,1
08122010,0
08132010,1
08142010,0
08152010,0
08162010,1
08152010,0
08162010,0
08172010,1
08182010,0
08192010,1
08202010,0
08212010,0
09192010,16
09242010,0
09252010,0
09262010,0
09272010,0
09282010,0
09272010,0
09282010,0
09292010,0
09302010,0
06012011,0
06022011,0
06032011,0
06042011,3
06052011,0
06062011,0
06072011,0
06082011,0
06092011,0
06102011,0
06112011,0
06122011,0
06132011,0
06142011,0
06152011,0
06162011,0
06172011,0
06182011,0
06192011,0
06202011,0
06212011,0
06222011,0
06232011,0
06242011,0
06252011,0
06262011,0
06272011,0
06282011,1
06292011,0
06302011,0
07012011,0
07022011,0
07032011,0
07042011,0
07052011,1
07062011,2
07072011,0
07082011,23
07092011,15
07102011,95
07112011,4
07122011,0
07132011,0
07142011,3
07152011,0
07162011,20
07172011,15
07182011,2
07192011,0
07202011,0
07212011,0
07222011,0
07232011,1
07242011,27
07252011,32
07262011,1
07272011,0
07282011,0
07292011,0
07302011,0
07312011,103
08012011,8
08022011,0
08032011,0
08042011,1
08052011,0
08062011,0
08072011,0
08082011,45
08092011,232
08102011,88
08112011,9
08122011,47
08132011,75
08142011,14
08152011,49
08162011,2
08172011,0
08182011,4
08192011,0
08202011,8
08212011,1
08222011,31
08232011,0
08242011,0
08252011,0
08262011,18
08272011,20
08282011,0
08292011,10
08302011,0
08312011,0
09012011,1
09022011,7
09032011,1
09042011,68
09052011,14
09062011,6
09072011,21
09082011,12
09092011,1
09102011,0
09112011,28
09122011,59
09132011,1
09142011,0
09152011,0
09162011,0
09172011,3
09182011,6
09192011,0
09202011,4
09212011,0
09222011,0
09232011,0
09242011,0
09252011,7
09262011,0
09272011,0
09292011,0
09302011,0
06012012,0
06022012,0
06032012,0
06042012,0
06052012,0
06062012,0
06072012,0
06082012,0
06092012,0
06102012,0
06112012,0
06122012,0
06132012,21
06142012,2
06152012,0
06162012,9
06172012,0
06182012,0
06192012,0
06202012,0
06252012,0
06262012,0
06272012,0
06282012,0
06292012,0
06302012,0
07012012,0
07022012,0
07032012,0
07042012,2
07052012,0
07062012,0
07072012,0
07082012,0
07092012,51
07102012,35
07112012,0
07122012,4
07132012,2
07142012,0
07152012,0
07162012,0
07172012,0
07182012,0
07192012,0
07202012,0
07212012,0
07222012,0
07232012,0
07242012,0
07252012,0
07262012,0
07272012,0
07282012,0
07292012,1
07302012,0
07312012,0
08012012,0
08022012,0
08032012,0
08042012,0
08052012,0
08062012,0
08072012,0
08082012,0
08092012,0
08102012,0
08112012,0
08122012,28
08132012,0
08142012,0
08152012,0
08162012,0
08172012,0
06012014,0
06022014,3
06032014,0
06042014,0
06052014,0
06062014,0
06072014,0
06082014,0
06092014,0
06102014,0
06112014,0
06122014,0
06132014,0
06142014,0
06152014,0
06162014,0
06172014,0
06182014,0
06192014,0
06202014,0
06212014,0
06222014,0
06232014,0
06242014,0
06252014,0
06262014,0
06272014,0
06282014,0
06292014,0
06302014,0
07012014,0
07022014,0
07032014,0
07042014,0
07052014,0
07062014,0
07072014,0
07082014,0
07092014,0
07102014,0
07112014,0
07122014,0
07132014,0
07142014,6
07152014,21
07162014,33
07172014,3
07182014,68
07192014,0
07202014,0
07212014,0
07222014,0
07232014,10
07242014,19
07252014,7
07262014,0
07272014,14
07282014,1
07292014,73
07302014,11
07312014,1
08012014,0
08022014,5
08032014,20
08042014,1
08052014,1
08062014,10
08072014,13
08082014,1
08092014,0
08102014,0
08112014,0
08122014,0
08132014,0
08142014,2
08152014,2
08162014,0
08172014,0
08182014,0
08192014,0
08202014,0
08212014,0
08222014,0
08232014,10
08242014,5
08252014,14
08262014,0
08272014,0
08282014,0
08292014,8
08302014,3
08312014,0
09012014,14
09022014,25
09032014,44
09042014,25
09052014,4
09062014,0
09072014,0
09082014,12
09092014,86
09102014,8
09112014,0
06012015,0
06022015,6
06032015,3
06042015,0
06052015,0
06062015,0
06072015,0
06082015,0
06092015,0
06102015,0
06112015,14
06122015,17
06132015,3
06142015,2
06152015,1
06162015,0
06172015,2
06182015,1
06192015,1
06202015,0
06212015,1
06222015,4
06232015,2
06242015,1
06252015,2
06262015,2
06272015,2
06282015,2
06292015,3
06302015,2
07012015,2
07022015,2
07032015,2
07042015,1
07052015,1
07062015,1
07072015,1
07082015,1
07092015,1
07102015,0
07112015,1
07122015,0
07132015,1
07142015,0
07152015,0
07162015,1
07172015,0
07182015,0
07192015,0
07202015,0
07212015,14
07222015,4
07232015,0
07242015,0
07252015,1
07262015,0
07272015,104
07282015,96
07292015,110
07302015,19
07312015,3
08012015,1
08022015,1
08032015,3
08042015,4
